Cluster,Source,Target,Days,RMSE_TL,MAE_TL,RMSE_BASE,MAE_BASE
4,Building_6,Building_4,224,0.7313149312317783,0.5049121706039513,0.6222703950418423,0.4059490897513858
4,Building_6,Building_4,231,0.754587568877555,0.5178203821992227,0.6255326114796098,0.40461979933534137
4,Building_6,Building_4,238,0.7896773987042431,0.5586380327507015,0.639192367534527,0.42354064807240754
4,Building_6,Building_4,240,0.705872495182168,0.48329262924688177,0.6725763337519648,0.43970150036597816
4,Building_6,Building_13,7,0.8412212777012339,0.6715383620325125,1.1147632462190669,0.8505928201983597
4,Building_6,Building_13,14,1.1117303497531064,0.9447720112815243,1.8052195970240794,1.4397787673586875
4,Building_6,Building_13,21,1.128993287464865,0.959133194370443,1.52920128654428,1.2611267105454023
4,Building_6,Building_13,28,1.112476532409902,0.9410566884181557,1.3215681007267817,1.0222959019640816
4,Building_6,Building_13,35,1.1577598400329576,0.9816582941534613,1.4252299603276046,1.133133396858822
4,Building_6,Building_13,42,1.1154844798633494,0.9540877242875843,1.453551750302695,1.1468305423078304
4,Building_6,Building_13,49,1.0547495845906398,0.8578408070584315,1.322379311068649,0.9913340091068829
4,Building_6,Building_13,56,0.7657552063990247,0.5978529890082845,0.8439577862157296,0.6004201720292408
4,Building_6,Building_13,63,0.8125989219221603,0.6435884462638021,0.8733854614955756,0.6203614221824497
4,Building_6,Building_13,70,0.7778986238646526,0.6084008851654755,0.9865464215206435,0.715659327525058
4,Building_6,Building_13,77,0.8190346873825746,0.6466136198504817,0.976621917865392,0.6713238974720452
4,Building_6,Building_13,84,0.7719720087839185,0.600580310065254,0.9128558947388227,0.6379213922643635
4,Building_6,Building_13,91,0.8260535503674225,0.6442876558726113,0.989912808215155,0.7000597590972142
4,Building_6,Building_13,98,0.8010894105337357,0.6183742878477088,0.8966707280902284,0.6538893530754974
4,Building_6,Building_13,105,0.8116585931115654,0.651283810252591,0.8903259243373797,0.6251959765705958
4,Building_6,Building_13,112,0.829169380880379,0.6578765200813677,0.9218954832917537,0.6668492496974481
4,Building_6,Building_13,119,0.7955568949318924,0.6411907697528683,0.9054351331922507,0.6338358961957495
4,Building_6,Building_13,126,0.7232270277126586,0.5256759274442023,0.691002851585707,0.4916505107084276
4,Building_6,Building_13,133,0.7487440347082931,0.5501784269216224,0.7151519854729609,0.5232647374321779
4,Building_6,Building_13,140,0.7615780910466317,0.5657099134365481,0.8001694763389902,0.5953076317086351
4,Building_6,Building_13,147,0.7212592843763431,0.5279328365889305,0.7136974202206273,0.5045414081207467
4,Building_6,Building_13,154,0.7739209588840507,0.5761525047406466,0.7836206156140485,0.582243108823058
4,Building_6,Building_13,161,0.7095535639504605,0.5089503035032433,0.7489525775095915,0.5242726213689404
4,Building_6,Building_13,168,0.6923611498692699,0.47465040348144943,0.685254087655285,0.4519319811478073
4,Building_6,Building_13,175,0.737290361149496,0.4626172674294723,0.660634529145276,0.39718138684103593
4,Building_6,Building_13,182,0.6071825106283514,0.4017995633932101,0.5332123866224785,0.34217939217974397
4,Building_6,Building_13,189,0.5724713007733091,0.374486503274039,0.49844353106429945,0.31509673395206833
4,Building_6,Building_13,196,0.58201650506482,0.3769580093447591,0.49242511845176967,0.3116465147703215
4,Building_6,Building_13,203,0.5826327814892249,0.3813351678881452,0.4924449553492321,0.31091220508500905
